venta_id,timestamp,timestamp_iso,producto_id,producto,cantidad,precio_unitario,total,descuento,total_neto,monto_descuento
1190,2026-04-18 01:17:26+00:00,2026-04-18T01:17:26Z,P004,Huevos,2,3.9,7.8,0.02,7.64,0.16
194,2026-04-18 01:26:05+00:00,2026-04-18T01:26:05Z,P004,Huevos,5,3.9,19.5,0.04,18.72,0.78
160,2026-04-18 01:34:08+00:00,2026-04-18T01:34:08Z,P005,Arroz,1,2.1,2.1,0.13,1.83,0.27
524,2026-04-18 01:34:35+00:00,2026-04-18T01:34:35Z,P007,Galletas,1,1.6,1.6,0.19,1.3,0.3
41,2026-04-18 01:35:14+00:00,2026-04-18T01:35:14Z,P004,Huevos,1,3.9,3.9,0.12,3.43,0.47
925,2026-04-18 01:43:07+00:00,2026-04-18T01:43:07Z,P001,Café,2,2.5,5.0,0.08,4.6,0.4
83,2026-04-18 01:47:59+00:00,2026-04-18T01:47:59Z,P006,Queso,2,4.5,9.0,0.2,7.2,1.8
353,2026-04-18 01:50:04+00:00,2026-04-18T01:50:04Z,P006,Queso,1,4.5,4.5,0.01,4.46,0.04
1165,2026-04-18 01:55:56+00:00,2026-04-18T01:55:56Z,P007,Galletas,1,1.6,1.6,0.17,1.33,0.27
213,2026-04-18 02:04:15+00:00,2026-04-18T02:04:15Z,P005,Arroz,5,2.1,10.5,0.06,9.87,0.63
3,2026-04-18 02:05:13+00:00,2026-04-18T02:05:13Z,P004,Huevos,1,3.9,3.9,0.03,3.78,0.12
1112,2026-04-18 02:06:31+00:00,2026-04-18T02:06:31Z,P004,Huevos,1,3.9,3.9,0.02,3.82,0.08
751,2026-04-18 02:10:40+00:00,2026-04-18T02:10:40Z,P005,Arroz,4,2.1,8.4,0.06,7.9,0.5
4,2026-04-18 02:12:45+00:00,2026-04-18T02:12:45Z,P007,Galletas,1,1.6,1.6,0.16,1.34,0.26
231,2026-04-18 02:23:46+00:00,2026-04-18T02:23:46Z,P003,Leche,1,1.8,1.8,0.04,1.73,0.07
1060,2026-04-18 02:25:33+00:00,2026-04-18T02:25:33Z,P002,Pan,1,1.2,1.2,0.12,1.06,0.14
207,2026-04-18 02:32:37+00:00,2026-04-18T02:32:37Z,P006,Queso,3,4.5,13.5,0.13,11.74,1.76
717,2026-04-18 02:44:22+00:00,2026-04-18T02:44:22Z,P003,Leche,2,1.8,3.6,0.07,3.35,0.25
831,2026-04-18 03:06:41+00:00,2026-04-18T03:06:41Z,P001,Café,1,2.5,2.5,0.11,2.22,0.28
358,2026-04-18 03:12:56+00:00,2026-04-18T03:12:56Z,P001,Café,1,2.5,2.5,0.01,2.48,0.02
478,2026-04-18 03:22:44+00:00,2026-04-18T03:22:44Z,P002,Pan,1,1.2,1.2,0.01,1.19,0.01
328,2026-04-18 03:23:43+00:00,2026-04-18T03:23:43Z,P004,Huevos,4,3.9,15.6,0.04,14.98,0.62
898,2026-04-18 03:24:24+00:00,2026-04-18T03:24:24Z,P007,Galletas,4,1.6,6.4,0.14,5.5,0.9
986,2026-04-18 03:33:27+00:00,2026-04-18T03:33:27Z,P004,Huevos,4,3.9,15.6,0.09,14.2,1.4
361,2026-04-18 03:41:21+00:00,2026-04-18T03:41:21Z,P005,Arroz,1,2.1,2.1,0.06,1.97,0.13
572,2026-04-18 03:41:43+00:00,2026-04-18T03:41:43Z,P007,Galletas,4,1.6,6.4,0.12,5.63,0.77
1194,2026-04-18 03:47:52+00:00,2026-04-18T03:47:52Z,P007,Galletas,2,1.6,3.2,0.09,2.91,0.29
368,2026-04-18 03:55:58+00:00,2026-04-18T03:55:58Z,P006,Queso,2,4.5,9.0,0.06,8.46,0.54
465,2026-04-18 04:07:29+00:00,2026-04-18T04:07:29Z,P005,Arroz,1,2.1,2.1,0.16,1.76,0.34
893,2026-04-18 04:17:48+00:00,2026-04-18T04:17:48Z,P003,Leche,5,1.8,9.0,0.14,7.74,1.26
161,2026-04-18 04:18:44+00:00,2026-04-18T04:18:44Z,P003,Leche,2,1.8,3.6,0.05,3.42,0.18
216,2026-04-18 04:22:23+00:00,2026-04-18T04:22:23Z,P007,Galletas,1,1.6,1.6,0.11,1.42,0.18
555,2026-04-18 04:27:17+00:00,2026-04-18T04:27:17Z,P007,Galletas,1,1.6,1.6,0.11,1.42,0.18
334,2026-04-18 04:30:55+00:00,2026-04-18T04:30:55Z,P006,Queso,2,4.5,9.0,0.18,7.38,1.62
415,2026-04-18 04:35:12+00:00,2026-04-18T04:35:12Z,P006,Queso,2,4.5,9.0,0.15,7.65,1.35
1117,2026-04-18 04:35:47+00:00,2026-04-18T04:35:47Z,P007,Galletas,3,1.6,4.8,0.06,4.51,0.29
57,2026-04-18 04:37:30+00:00,2026-04-18T04:37:30Z,P003,Leche,1,1.8,1.8,0.2,1.44,0.36
1156,2026-04-18 04:39:59+00:00,2026-04-18T04:39:59Z,P003,Leche,3,1.8,5.4,0.02,5.29,0.11
315,2026-04-18 04:40:41+00:00,2026-04-18T04:40:41Z,P006,Queso,1,4.5,4.5,0.08,4.14,0.36
47,2026-04-18 04:41:41+00:00,2026-04-18T04:41:41Z,P002,Pan,1,1.2,1.2,0.15,1.02,0.18
1139,2026-04-18 04:49:21+00:00,2026-04-18T04:49:21Z,P006,Queso,3,4.5,13.5,0.03,13.1,0.4
357,2026-04-18 04:49:29+00:00,2026-04-18T04:49:29Z,P001,Café,1,2.5,2.5,0.1,2.25,0.25
479,2026-04-18 04:57:04+00:00,2026-04-18T04:57:04Z,P008,Jugo,1,2.9,2.9,0.01,2.87,0.03
645,2026-04-18 04:57:50+00:00,2026-04-18T04:57:50Z,P004,Huevos,1,3.9,3.9,0.13,3.39,0.51
1011,2026-04-18 05:05:35+00:00,2026-04-18T05:05:35Z,P005,Arroz,2,2.1,4.2,0.15,3.57,0.63
940,2026-04-18 05:06:12+00:00,2026-04-18T05:06:12Z,P008,Jugo,4,2.9,11.6,0.11,10.32,1.28
1078,2026-04-18 05:08:18+00:00,2026-04-18T05:08:18Z,P002,Pan,2,1.2,2.4,0.18,1.97,0.43
176,2026-04-18 05:10:50+00:00,2026-04-18T05:10:50Z,P005,Arroz,2,2.1,4.2,0.06,3.95,0.25
650,2026-04-18 05:16:13+00:00,2026-04-18T05:16:13Z,P001,Café,4,2.5,10.0,0.14,8.6,1.4
670,2026-04-18 05:23:07+00:00,2026-04-18T05:23:07Z,P001,Café,1,2.5,2.5,0.12,2.2,0.3
307,2026-04-18 05:29:28+00:00,2026-04-18T05:29:28Z,P001,Café,1,2.5,2.5,0.12,2.2,0.3
1086,2026-04-18 05:30:11+00:00,2026-04-18T05:30:11Z,P004,Huevos,3,3.9,11.7,0.09,10.65,1.05
416,2026-04-18 05:32:28+00:00,2026-04-18T05:32:28Z,P005,Arroz,3,2.1,6.3,0.17,5.23,1.07
489,2026-04-18 05:38:02+00:00,2026-04-18T05:38:02Z,P008,Jugo,2,2.9,5.8,0.19,4.7,1.1
968,2026-04-18 05:41:17+00:00,2026-04-18T05:41:17Z,P004,Huevos,1,3.9,3.9,0.09,3.55,0.35
142,2026-04-18 05:41:21+00:00,2026-04-18T05:41:21Z,P001,Café,3,2.5,7.5,0.13,6.52,0.98
95,2026-04-18 05:42:58+00:00,2026-04-18T05:42:58Z,P006,Queso,2,4.5,9.0,0.01,8.91,0.09
372,2026-04-18 05:49:41+00:00,2026-04-18T05:49:41Z,P006,Queso,1,4.5,4.5,0.14,3.87,0.63
617,2026-04-18 05:50:56+00:00,2026-04-18T05:50:56Z,P002,Pan,1,1.2,1.2,0.13,1.04,0.16
741,2026-04-18 05:54:02+00:00,2026-04-18T05:54:02Z,P005,Arroz,1,2.1,2.1,0.2,1.68,0.42
927,2026-04-18 05:59:32+00:00,2026-04-18T05:59:32Z,P002,Pan,1,1.2,1.2,0.16,1.01,0.19
131,2026-04-18 06:01:47+00:00,2026-04-18T06:01:47Z,P001,Café,5,2.5,12.5,0.06,11.75,0.75
600,2026-04-18 06:01:50+00:00,2026-04-18T06:01:50Z,P004,Huevos,1,3.9,3.9,0.08,3.59,0.31
631,2026-04-18 06:06:00+00:00,2026-04-18T06:06:00Z,P004,Huevos,1,3.9,3.9,0.13,3.39,0.51
640,2026-04-18 06:06:08+00:00,2026-04-18T06:06:08Z,P002,Pan,2,1.2,2.4,0.0,2.4,0.0
527,2026-04-18 06:09:15+00:00,2026-04-18T06:09:15Z,P004,Huevos,2,3.9,7.8,0.09,7.1,0.7
843,2026-04-18 06:11:55+00:00,2026-04-18T06:11:55Z,P001,Café,3,2.5,7.5,0.03,7.28,0.22
746,2026-04-18 06:13:12+00:00,2026-04-18T06:13:12Z,P007,Galletas,2,1.6,3.2,0.02,3.14,0.06
171,2026-04-18 06:15:11+00:00,2026-04-18T06:15:11Z,P002,Pan,1,1.2,1.2,0.01,1.19,0.01
1081,2026-04-18 06:17:08+00:00,2026-04-18T06:17:08Z,P008,Jugo,2,2.9,5.8,0.15,4.93,0.87
1009,2026-04-18 06:17:49+00:00,2026-04-18T06:17:49Z,P007,Galletas,1,1.6,1.6,0.03,1.55,0.05
635,2026-04-18 06:20:23+00:00,2026-04-18T06:20:23Z,P005,Arroz,1,2.1,2.1,0.05,2.0,0.1
410,2026-04-18 06:25:32+00:00,2026-04-18T06:25:32Z,P008,Jugo,4,2.9,11.6,0.08,10.67,0.93
841,2026-04-18 06:32:04+00:00,2026-04-18T06:32:04Z,P002,Pan,3,1.2,3.6,0.17,2.99,0.61
551,2026-04-18 06:35:05+00:00,2026-04-18T06:35:05Z,P006,Queso,3,4.5,13.5,0.02,13.23,0.27
263,2026-04-18 06:38:09+00:00,2026-04-18T06:38:09Z,P002,Pan,1,1.2,1.2,0.09,1.09,0.11
365,2026-04-18 06:38:52+00:00,2026-04-18T06:38:52Z,P003,Leche,1,1.8,1.8,0.11,1.6,0.2
1097,2026-04-18 06:39:21+00:00,2026-04-18T06:39:21Z,P001,Café,1,2.5,2.5,0.18,2.05,0.45
461,2026-04-18 06:42:06+00:00,2026-04-18T06:42:06Z,P003,Leche,5,1.8,9.0,0.16,7.56,1.44
713,2026-04-18 06:42:15+00:00,2026-04-18T06:42:15Z,P005,Arroz,1,2.1,2.1,0.17,1.74,0.36
316,2026-04-18 06:43:24+00:00,2026-04-18T06:43:24Z,P005,Arroz,1,2.1,2.1,0.06,1.97,0.13
579,2026-04-18 06:46:44+00:00,2026-04-18T06:46:44Z,P008,Jugo,1,2.9,2.9,0.08,2.67,0.23
845,2026-04-18 06:48:56+00:00,2026-04-18T06:48:56Z,P001,Café,1,2.5,2.5,0.07,2.32,0.18
325,2026-04-18 06:49:34+00:00,2026-04-18T06:49:34Z,P001,Café,2,2.5,5.0,0.18,4.1,0.9
691,2026-04-18 06:51:43+00:00,2026-04-18T06:51:43Z,P005,Arroz,3,2.1,6.3,0.19,5.1,1.2
750,2026-04-18 06:52:42+00:00,2026-04-18T06:52:42Z,P008,Jugo,1,2.9,2.9,0.03,2.81,0.09
577,2026-04-18 06:53:46+00:00,2026-04-18T06:53:46Z,P003,Leche,1,1.8,1.8,0.04,1.73,0.07
533,2026-04-18 06:54:27+00:00,2026-04-18T06:54:27Z,P006,Queso,2,4.5,9.0,0.05,8.55,0.45
335,2026-04-18 06:54:33+00:00,2026-04-18T06:54:33Z,P002,Pan,1,1.2,1.2,0.05,1.14,0.06
607,2026-04-18 06:55:07+00:00,2026-04-18T06:55:07Z,P004,Huevos,1,3.9,3.9,0.1,3.51,0.39
218,2026-04-18 06:55:24+00:00,2026-04-18T06:55:24Z,P004,Huevos,1,3.9,3.9,0.12,3.43,0.47
760,2026-04-18 06:57:54+00:00,2026-04-18T06:57:54Z,P001,Café,1,2.5,2.5,0.05,2.38,0.12
654,2026-04-18 06:58:13+00:00,2026-04-18T06:58:13Z,P003,Leche,1,1.8,1.8,0.0,1.8,0.0
337,2026-04-18 06:58:14+00:00,2026-04-18T06:58:14Z,P008,Jugo,3,2.9,8.7,0.08,8.0,0.7
659,2026-04-18 07:00:10+00:00,2026-04-18T07:00:10Z,P008,Jugo,4,2.9,11.6,0.07,10.79,0.81
242,2026-04-18 07:02:02+00:00,2026-04-18T07:02:02Z,P005,Arroz,5,2.1,10.5,0.11,9.35,1.15
105,2026-04-18 07:02:15+00:00,2026-04-18T07:02:15Z,P008,Jugo,2,2.9,5.8,0.19,4.7,1.1
379,2026-04-18 07:04:28+00:00,2026-04-18T07:04:28Z,P003,Leche,3,1.8,5.4,0.14,4.64,0.76
2,2026-04-18 07:06:43+00:00,2026-04-18T07:06:43Z,P002,Pan,2,1.2,2.4,0.1,2.16,0.24
603,2026-04-18 07:07:17+00:00,2026-04-18T07:07:17Z,P006,Queso,1,4.5,4.5,0.12,3.96,0.54
70,2026-04-18 07:07:56+00:00,2026-04-18T07:07:56Z,P002,Pan,2,1.2,2.4,0.14,2.06,0.34
468,2026-04-18 07:09:29+00:00,2026-04-18T07:09:29Z,P006,Queso,1,4.5,4.5,0.01,4.46,0.04
957,2026-04-18 07:10:11+00:00,2026-04-18T07:10:11Z,P003,Leche,2,1.8,3.6,0.18,2.95,0.65
974,2026-04-18 07:10:16+00:00,2026-04-18T07:10:16Z,P003,Leche,1,1.8,1.8,0.16,1.51,0.29
457,2026-04-18 07:10:46+00:00,2026-04-18T07:10:46Z,P008,Jugo,2,2.9,5.8,0.17,4.81,0.99
791,2026-04-18 07:11:38+00:00,2026-04-18T07:11:38Z,P001,Café,1,2.5,2.5,0.16,2.1,0.4
981,2026-04-18 07:12:33+00:00,2026-04-18T07:12:33Z,P007,Galletas,3,1.6,4.8,0.08,4.42,0.38
609,2026-04-18 07:13:52+00:00,2026-04-18T07:13:52Z,P004,Huevos,3,3.9,11.7,0.08,10.76,0.94
632,2026-04-18 07:14:33+00:00,2026-04-18T07:14:33Z,P008,Jugo,1,2.9,2.9,0.02,2.84,0.06
243,2026-04-18 07:15:56+00:00,2026-04-18T07:15:56Z,P003,Leche,1,1.8,1.8,0.13,1.57,0.23
75,2026-04-18 07:16:10+00:00,2026-04-18T07:16:10Z,P008,Jugo,2,2.9,5.8,0.01,5.74,0.06
341,2026-04-18 07:18:58+00:00,2026-04-18T07:18:58Z,P008,Jugo,2,2.9,5.8,0.01,5.74,0.06
567,2026-04-18 07:19:15+00:00,2026-04-18T07:19:15Z,P005,Arroz,2,2.1,4.2,0.04,4.03,0.17
420,2026-04-18 07:21:51+00:00,2026-04-18T07:21:51Z,P008,Jugo,1,2.9,2.9,0.03,2.81,0.09
66,2026-04-18 07:22:56+00:00,2026-04-18T07:22:56Z,P002,Pan,3,1.2,3.6,0.07,3.35,0.25
224,2026-04-18 07:24:36+00:00,2026-04-18T07:24:36Z,P006,Queso,2,4.5,9.0,0.01,8.91,0.09
425,2026-04-18 07:26:37+00:00,2026-04-18T07:26:37Z,P005,Arroz,2,2.1,4.2,0.0,4.2,0.0
763,2026-04-18 07:27:05+00:00,2026-04-18T07:27:05Z,P007,Galletas,1,1.6,1.6,0.03,1.55,0.05
993,2026-04-18 07:27:41+00:00,2026-04-18T07:27:41Z,P005,Arroz,1,2.1,2.1,0.02,2.06,0.04
405,2026-04-18 07:28:15+00:00,2026-04-18T07:28:15Z,P003,Leche,1,1.8,1.8,0.07,1.67,0.13
832,2026-04-18 07:28:24+00:00,2026-04-18T07:28:24Z,P002,Pan,1,1.2,1.2,0.01,1.19,0.01
128,2026-04-18 07:29:11+00:00,2026-04-18T07:29:11Z,P001,Café,1,2.5,2.5,0.17,2.07,0.43
500,2026-04-18 07:29:58+00:00,2026-04-18T07:29:58Z,P001,Café,2,2.5,5.0,0.12,4.4,0.6
733,2026-04-18 07:31:09+00:00,2026-04-18T07:31:09Z,P006,Queso,2,4.5,9.0,0.03,8.73,0.27
646,2026-04-18 07:31:40+00:00,2026-04-18T07:31:40Z,P002,Pan,1,1.2,1.2,0.05,1.14,0.06
865,2026-04-18 07:31:47+00:00,2026-04-18T07:31:47Z,P001,Café,1,2.5,2.5,0.07,2.32,0.18
259,2026-04-18 07:32:14+00:00,2026-04-18T07:32:14Z,P001,Café,2,2.5,5.0,0.07,4.65,0.35
456,2026-04-18 07:32:29+00:00,2026-04-18T07:32:29Z,P005,Arroz,1,2.1,2.1,0.02,2.06,0.04
390,2026-04-18 07:32:58+00:00,2026-04-18T07:32:58Z,P001,Café,3,2.5,7.5,0.17,6.22,1.28
447,2026-04-18 07:35:59+00:00,2026-04-18T07:35:59Z,P003,Leche,1,1.8,1.8,0.2,1.44,0.36
768,2026-04-18 07:36:37+00:00,2026-04-18T07:36:37Z,P002,Pan,4,1.2,4.8,0.09,4.37,0.43
984,2026-04-18 07:38:34+00:00,2026-04-18T07:38:34Z,P001,Café,3,2.5,7.5,0.1,6.75,0.75
371,2026-04-18 07:38:43+00:00,2026-04-18T07:38:43Z,P008,Jugo,1,2.9,2.9,0.02,2.84,0.06
705,2026-04-18 07:39:39+00:00,2026-04-18T07:39:39Z,P004,Huevos,2,3.9,7.8,0.02,7.64,0.16
1177,2026-04-18 07:41:08+00:00,2026-04-18T07:41:08Z,P004,Huevos,3,3.9,11.7,0.07,10.88,0.82
846,2026-04-18 07:41:10+00:00,2026-04-18T07:41:10Z,P006,Queso,1,4.5,4.5,0.05,4.27,0.23
63,2026-04-18 07:41:19+00:00,2026-04-18T07:41:19Z,P008,Jugo,1,2.9,2.9,0.17,2.41,0.49
948,2026-04-18 07:41:38+00:00,2026-04-18T07:41:38Z,P002,Pan,3,1.2,3.6,0.03,3.49,0.11
494,2026-04-18 07:42:33+00:00,2026-04-18T07:42:33Z,P004,Huevos,1,3.9,3.9,0.0,3.9,0.0
287,2026-04-18 07:43:43+00:00,2026-04-18T07:43:43Z,P008,Jugo,1,2.9,2.9,0.19,2.35,0.55
1065,2026-04-18 07:44:34+00:00,2026-04-18T07:44:34Z,P003,Leche,2,1.8,3.6,0.11,3.2,0.4
342,2026-04-18 07:45:30+00:00,2026-04-18T07:45:30Z,P008,Jugo,2,2.9,5.8,0.03,5.63,0.17
888,2026-04-18 07:45:41+00:00,2026-04-18T07:45:41Z,P003,Leche,1,1.8,1.8,0.11,1.6,0.2
262,2026-04-18 07:45:58+00:00,2026-04-18T07:45:58Z,P008,Jugo,1,2.9,2.9,0.01,2.87,0.03
723,2026-04-18 07:45:58+00:00,2026-04-18T07:45:58Z,P003,Leche,2,1.8,3.6,0.11,3.2,0.4
376,2026-04-18 07:47:11+00:00,2026-04-18T07:47:11Z,P008,Jugo,1,2.9,2.9,0.2,2.32,0.58
21,2026-04-18 07:47:35+00:00,2026-04-18T07:47:35Z,P005,Arroz,2,2.1,4.2,0.17,3.49,0.71
661,2026-04-18 07:49:55+00:00,2026-04-18T07:49:55Z,P005,Arroz,2,2.1,4.2,0.14,3.61,0.59
255,2026-04-18 07:55:01+00:00,2026-04-18T07:55:01Z,P003,Leche,1,1.8,1.8,0.05,1.71,0.09
209,2026-04-18 07:55:41+00:00,2026-04-18T07:55:41Z,P003,Leche,1,1.8,1.8,0.07,1.67,0.13
27,2026-04-18 07:56:34+00:00,2026-04-18T07:56:34Z,P005,Arroz,2,2.1,4.2,0.03,4.07,0.13
662,2026-04-18 07:57:01+00:00,2026-04-18T07:57:01Z,P006,Queso,3,4.5,13.5,0.15,11.48,2.02
1101,2026-04-18 07:57:02+00:00,2026-04-18T07:57:02Z,P008,Jugo,2,2.9,5.8,0.11,5.16,0.64
421,2026-04-18 07:57:32+00:00,2026-04-18T07:57:32Z,P003,Leche,1,1.8,1.8,0.16,1.51,0.29
1028,2026-04-18 07:58:05+00:00,2026-04-18T07:58:05Z,P008,Jugo,2,2.9,5.8,0.07,5.39,0.41
54,2026-04-18 08:00:24+00:00,2026-04-18T08:00:24Z,P005,Arroz,4,2.1,8.4,0.04,8.06,0.34
1057,2026-04-18 08:01:08+00:00,2026-04-18T08:01:08Z,P004,Huevos,2,3.9,7.8,0.16,6.55,1.25
719,2026-04-18 08:02:05+00:00,2026-04-18T08:02:05Z,P001,Café,1,2.5,2.5,0.2,2.0,0.5
952,2026-04-18 08:02:35+00:00,2026-04-18T08:02:35Z,P005,Arroz,1,2.1,2.1,0.17,1.74,0.36
1075,2026-04-18 08:05:27+00:00,2026-04-18T08:05:27Z,P004,Huevos,1,3.9,3.9,0.16,3.28,0.62
1068,2026-04-18 08:05:28+00:00,2026-04-18T08:05:28Z,P005,Arroz,1,2.1,2.1,0.16,1.76,0.34
1003,2026-04-18 08:05:38+00:00,2026-04-18T08:05:38Z,P001,Café,2,2.5,5.0,0.15,4.25,0.75
1093,2026-04-18 08:07:15+00:00,2026-04-18T08:07:15Z,P007,Galletas,1,1.6,1.6,0.05,1.52,0.08
157,2026-04-18 08:07:47+00:00,2026-04-18T08:07:47Z,P003,Leche,1,1.8,1.8,0.1,1.62,0.18
812,2026-04-18 08:07:55+00:00,2026-04-18T08:07:55Z,P007,Galletas,1,1.6,1.6,0.07,1.49,0.11
1184,2026-04-18 08:08:11+00:00,2026-04-18T08:08:11Z,P001,Café,2,2.5,5.0,0.01,4.95,0.05
828,2026-04-18 08:08:13+00:00,2026-04-18T08:08:13Z,P001,Café,2,2.5,5.0,0.01,4.95,0.05
280,2026-04-18 08:09:36+00:00,2026-04-18T08:09:36Z,P007,Galletas,1,1.6,1.6,0.06,1.5,0.1
538,2026-04-18 08:09:48+00:00,2026-04-18T08:09:48Z,P007,Galletas,4,1.6,6.4,0.05,6.08,0.32
704,2026-04-18 08:11:17+00:00,2026-04-18T08:11:17Z,P005,Arroz,1,2.1,2.1,0.14,1.81,0.29
118,2026-04-18 08:13:04+00:00,2026-04-18T08:13:04Z,P007,Galletas,1,1.6,1.6,0.19,1.3,0.3
522,2026-04-18 08:13:32+00:00,2026-04-18T08:13:32Z,P008,Jugo,1,2.9,2.9,0.09,2.64,0.26
1189,2026-04-18 08:14:02+00:00,2026-04-18T08:14:02Z,P007,Galletas,2,1.6,3.2,0.19,2.59,0.61
515,2026-04-18 08:14:24+00:00,2026-04-18T08:14:24Z,P004,Huevos,1,3.9,3.9,0.2,3.12,0.78
436,2026-04-18 08:15:17+00:00,2026-04-18T08:15:17Z,P005,Arroz,1,2.1,2.1,0.19,1.7,0.4
80,2026-04-18 08:15:42+00:00,2026-04-18T08:15:42Z,P002,Pan,1,1.2,1.2,0.07,1.12,0.08
1027,2026-04-18 08:15:53+00:00,2026-04-18T08:15:53Z,P006,Queso,1,4.5,4.5,0.04,4.32,0.18
554,2026-04-18 08:17:19+00:00,2026-04-18T08:17:19Z,P005,Arroz,1,2.1,2.1,0.05,2.0,0.1
1094,2026-04-18 08:17:37+00:00,2026-04-18T08:17:37Z,P002,Pan,1,1.2,1.2,0.04,1.15,0.05
14,2026-04-18 08:17:44+00:00,2026-04-18T08:17:44Z,P002,Pan,2,1.2,2.4,0.04,2.3,0.1
71,2026-04-18 08:18:38+00:00,2026-04-18T08:18:38Z,P004,Huevos,2,3.9,7.8,0.12,6.86,0.94
1105,2026-04-18 08:18:52+00:00,2026-04-18T08:18:52Z,P005,Arroz,1,2.1,2.1,0.18,1.72,0.38
137,2026-04-18 08:19:06+00:00,2026-04-18T08:19:06Z,P001,Café,4,2.5,10.0,0.17,8.3,1.7
690,2026-04-18 08:19:29+00:00,2026-04-18T08:19:29Z,P005,Arroz,3,2.1,6.3,0.1,5.67,0.63
88,2026-04-18 08:21:17+00:00,2026-04-18T08:21:17Z,P002,Pan,4,1.2,4.8,0.13,4.18,0.62
872,2026-04-18 08:21:22+00:00,2026-04-18T08:21:22Z,P005,Arroz,1,2.1,2.1,0.16,1.76,0.34
411,2026-04-18 08:22:03+00:00,2026-04-18T08:22:03Z,P001,Café,1,2.5,2.5,0.02,2.45,0.05
1103,2026-04-18 08:22:20+00:00,2026-04-18T08:22:20Z,P008,Jugo,1,2.9,2.9,0.13,2.52,0.38
1170,2026-04-18 08:22:43+00:00,2026-04-18T08:22:43Z,P006,Queso,1,4.5,4.5,0.18,3.69,0.81
638,2026-04-18 08:22:46+00:00,2026-04-18T08:22:46Z,P004,Huevos,2,3.9,7.8,0.16,6.55,1.25
190,2026-04-18 08:23:39+00:00,2026-04-18T08:23:39Z,P008,Jugo,2,2.9,5.8,0.15,4.93,0.87
829,2026-04-18 08:23:45+00:00,2026-04-18T08:23:45Z,P001,Café,1,2.5,2.5,0.1,2.25,0.25
291,2026-04-18 08:24:34+00:00,2026-04-18T08:24:34Z,P004,Huevos,1,3.9,3.9,0.04,3.74,0.16
598,2026-04-18 08:24:35+00:00,2026-04-18T08:24:35Z,P008,Jugo,1,2.9,2.9,0.16,2.44,0.46
814,2026-04-18 08:26:36+00:00,2026-04-18T08:26:36Z,P008,Jugo,1,2.9,2.9,0.07,2.7,0.2
639,2026-04-18 08:26:39+00:00,2026-04-18T08:26:39Z,P008,Jugo,3,2.9,8.7,0.16,7.31,1.39
6,2026-04-18 08:27:21+00:00,2026-04-18T08:27:21Z,P005,Arroz,1,2.1,2.1,0.19,1.7,0.4
49,2026-04-18 08:28:08+00:00,2026-04-18T08:28:08Z,P007,Galletas,1,1.6,1.6,0.08,1.47,0.13
550,2026-04-18 08:28:35+00:00,2026-04-18T08:28:35Z,P007,Galletas,1,1.6,1.6,0.08,1.47,0.13
626,2026-04-18 08:29:00+00:00,2026-04-18T08:29:00Z,P007,Galletas,1,1.6,1.6,0.19,1.3,0.3
649,2026-04-18 08:30:49+00:00,2026-04-18T08:30:49Z,P002,Pan,1,1.2,1.2,0.14,1.03,0.17
917,2026-04-18 08:32:05+00:00,2026-04-18T08:32:05Z,P002,Pan,1,1.2,1.2,0.03,1.16,0.04
419,2026-04-18 08:32:25+00:00,2026-04-18T08:32:25Z,P001,Café,1,2.5,2.5,0.03,2.42,0.08
720,2026-04-18 08:33:30+00:00,2026-04-18T08:33:30Z,P001,Café,1,2.5,2.5,0.03,2.42,0.08
